,exp_code_str3,exp_name,imp_code_str3,imp_name,USD,tonne
0,364,Iran,004,Afghanistan,2926415452.0,5670483.047
1,784,United Arab Emirates,004,Afghanistan,1832717924.0,336886.211
2,586,Pakistan,004,Afghanistan,1347924699.0,4369861.926
3,840,USA,004,Afghanistan,1141761410.0,65515.173
4,356,India,004,Afghanistan,726318117.0,201061.584
5,156,China,004,Afghanistan,666279092.0,194006.346
6,398,Kazakhstan,004,Afghanistan,517578595.0,2258333.806
7,860,Uzbekistan,004,Afghanistan,467085673.0,795573.956
8,792,TÃ¼rkiye,004,Afghanistan,152395105.0,59064.503
9,643,Russian Federation,004,Afghanistan,117128805.0,240432.24
10,458,Malaysia,004,Afghanistan,106824490.0,142841.441
11,410,Rep. of Korea,004,Afghanistan,93414992.0,29771.745
12,276,Germany,004,Afghanistan,89799273.0,20993.73
13,031,Azerbaijan,004,Afghanistan,71537336.0,144860.416
14,392,Japan,004,Afghanistan,58861763.0,17772.35
15,056,Belgium,004,Afghanistan,40057543.0,2005.397
16,826,United Kingdom,004,Afghanistan,39739869.0,2002.3220000000001
17,528,Netherlands,004,Afghanistan,38701849.0,10848.008
18,112,Belarus,004,Afghanistan,33488600.0,44360.907
19,764,Thailand,004,Afghanistan,27932207.0,3990.397
20,702,Singapore,004,Afghanistan,22683784.0,4574.624
21,360,Indonesia,004,Afghanistan,21799567.0,11012.868
22,124,Canada,004,Afghanistan,19385100.0,300.924
23,250,France,004,Afghanistan,18812225.0,2067.569
24,203,Czechia,004,Afghanistan,17081273.0,2353.699
25,076,Brazil,004,Afghanistan,16994642.0,21953.896
26,070,Bosnia Herzegovina,004,Afghanistan,14378566.0,669.264
27,380,Italy,004,Afghanistan,13190864.0,5284.221
28,208,Denmark,004,Afghanistan,9901336.0,1585.287
29,440,Lithuania,004,Afghanistan,9679408.0,1129.238
30,616,Poland,004,Afghanistan,9596572.0,7095.4
31,752,Sweden,004,Afghanistan,8914096.0,769.199
32,372,Ireland,004,Afghanistan,8831800.0,4008.602
33,040,Austria,004,Afghanistan,7987454.0,2261.594
34,724,Spain,004,Afghanistan,6327001.0,2535.138
35,348,Hungary,004,Afghanistan,5435088.0,4663.843
36,300,Greece,004,Afghanistan,5096137.0,505.194
37,036,Australia,004,Afghanistan,4556861.0,631.1510000000001
38,100,Bulgaria,004,Afghanistan,3962200.0,3416.304
39,703,Slovakia,004,Afghanistan,3662523.0,163.337
40,344,"China, Hong Kong SAR",004,Afghanistan,2844575.0,245.841
41,756,Switzerland,004,Afghanistan,2646790.0,1560.7749999999999
42,428,Latvia,004,Afghanistan,2282825.0,1444.244
43,417,Kyrgyzstan,004,Afghanistan,1924919.0,6201.1990000000005
44,490,"Other Asia, nes",004,Afghanistan,1723434.0,1130.551
45,578,Norway,004,Afghanistan,1628195.0,684.636
46,442,Luxembourg,004,Afghanistan,1498126.0,96.818
47,508,Mozambique,004,Afghanistan,1411812.0,43.0
48,554,New Zealand,004,Afghanistan,1114967.0,467.35799999999995
49,400,Jordan,004,Afghanistan,997999.0,156.497
50,710,South Africa,004,Afghanistan,827114.0,84.088
51,422,Lebanon,004,Afghanistan,794172.0,104.499
52,032,Argentina,004,Afghanistan,762411.0,934.852
53,048,Bahrain,004,Afghanistan,592321.0,194.479
54,705,Slovenia,004,Afghanistan,579812.0,386.13
55,320,Guatemala,004,Afghanistan,557438.0,43.449999999999996
56,246,Finland,004,Afghanistan,499135.0,186.022
57,646,Rwanda,004,Afghanistan,441576.0,155.531
58,068,Bolivia (Plurinational State of),004,Afghanistan,441529.0,1410.6
59,196,Cyprus,004,Afghanistan,415978.0,40.283
60,688,Serbia,004,Afghanistan,391540.0,330.993
61,233,Estonia,004,Afghanistan,362851.0,106.506
62,191,Croatia,004,Afghanistan,309713.0,130.568
63,642,Romania,004,Afghanistan,306707.0,223.30700000000002
64,512,Oman,004,Afghanistan,254309.0,11.402
65,620,Portugal,004,Afghanistan,202345.0,72.807
66,858,Uruguay,004,Afghanistan,175535.0,182.021
67,788,Tunisia,004,Afghanistan,172638.0,32.744
68,480,Mauritius,004,Afghanistan,142045.0,79.615
69,104,Myanmar,004,Afghanistan,124531.0,60.596000000000004
70,504,Morocco,004,Afghanistan,114606.0,22.118
71,499,Montenegro,004,Afghanistan,91968.0,0.233
72,430,Liberia,004,Afghanistan,91520.0,6.81
73,268,Georgia,004,Afghanistan,80909.0,2.386
74,450,Madagascar,004,Afghanistan,61565.0,49.0
75,834,United Rep. of Tanzania,004,Afghanistan,48822.0,0.33
76,807,North Macedonia,004,Afghanistan,42109.0,22.535
77,716,Zimbabwe,004,Afghanistan,37109.0,0.547
78,414,Kuwait,004,Afghanistan,34106.0,6.1339999999999995
79,600,Paraguay,004,Afghanistan,30034.0,88.334
80,604,Peru,004,Afghanistan,24333.0,17.417
81,024,Angola,004,Afghanistan,19352.0,1.581
82,051,Armenia,004,Afghanistan,17500.0,2.082
83,170,Colombia,004,Afghanistan,2181.0,0.018000000000000002
84,218,Ecuador,004,Afghanistan,1000.0,0.18
85,288,Ghana,004,Afghanistan,484.0,0.208
86,214,Dominican Rep.,004,Afghanistan,72.0,0.002
87,020,Andorra,004,Afghanistan,5.0,0.001
