,exp_code_str3,exp_name,imp_code_str3,imp_name,HS2,description,USD,tonne,clean_desc
0,840,USA,004,Afghanistan,87, Pedestrian controlled tractors,638106683.0,20148.734,USA -  Pedestrian controlled tractors
1,364,Iran,004,Afghanistan,27," Anthracite, not agglomerated",605626982.0,1361626.7380000001,"Iran -  Anthracite, not agglomerated"
2,784,United Arab Emirates,004,Afghanistan,88," Gliders, hang gliders",333997434.0,686.174,"United Arab Emirates -  Gliders, hang gliders"
3,784,United Arab Emirates,004,Afghanistan,24," Tobacco, unmanufactured, not stemmed or stripped",304933933.0,15097.057,"United Arab Emirates -  Tobacco, unmanufactured, not stemmed or stripped"
4,784,United Arab Emirates,004,Afghanistan,87, Pedestrian controlled tractors,301133835.0,131965.283,United Arab Emirates -  Pedestrian controlled tractors
5,784,United Arab Emirates,004,Afghanistan,85, Electric motors of an output < 37.5 watts,298845058.0,9976.914999999999,United Arab Emirates -  Electric motors of an output < 37.5 watts
6,398,Kazakhstan,004,Afghanistan,11, Wheat or meslin flour,286699795.0,1422650.0,Kazakhstan -  Wheat or meslin flour
7,364,Iran,004,Afghanistan,72," Pig iron, non-alloy, <0.5% phosphorus",278854395.0,543866.9720000001,"Iran -  Pig iron, non-alloy, <0.5% phosphorus"
8,364,Iran,004,Afghanistan,39, Polyethylene - specific gravity <0.94 in primary form,257230803.0,142597.608,Iran -  Polyethylene - specific gravity <0.94 in primary form
9,586,Pakistan,004,Afghanistan,17," Raw sugar, cane",212760489.0,636068.926,"Pakistan -  Raw sugar, cane"
10,860,Uzbekistan,004,Afghanistan,27," Anthracite, not agglomerated",173919447.0,19004.9,"Uzbekistan -  Anthracite, not agglomerated"
11,586,Pakistan,004,Afghanistan,27," Anthracite, not agglomerated",164732486.0,228883.0,"Pakistan -  Anthracite, not agglomerated"
12,840,USA,004,Afghanistan,93," Military weapons, other than hand guns, swords, etc",145132453.0,3920.114,"USA -  Military weapons, other than hand guns, swords, etc"
13,586,Pakistan,004,Afghanistan,10, Durum wheat,136277964.0,306244.0,Pakistan -  Durum wheat
14,364,Iran,004,Afghanistan,20," Cucumbers,gherkins, prepared or preserved by vinegar",132816487.0,86484.443,"Iran -  Cucumbers,gherkins, prepared or preserved by vinegar"
15,784,United Arab Emirates,004,Afghanistan,84, Nuclear reactors,126899585.0,36656.466,United Arab Emirates -  Nuclear reactors
16,156,China,004,Afghanistan,85, Electric motors of an output < 37.5 watts,125229342.0,12096.059000000001,China -  Electric motors of an output < 37.5 watts
17,586,Pakistan,004,Afghanistan,11, Wheat or meslin flour,124060496.0,538889.351,Pakistan -  Wheat or meslin flour
18,364,Iran,004,Afghanistan,85, Electric motors of an output < 37.5 watts,123563619.0,18632.343,Iran -  Electric motors of an output < 37.5 watts
19,364,Iran,004,Afghanistan,57," Carpets of wool or fine animal hair, knotted",114608320.0,27975.018,"Iran -  Carpets of wool or fine animal hair, knotted"
20,586,Pakistan,004,Afghanistan,07," Potatoes seed, fresh or chilled",111427190.0,453165.756,"Pakistan -  Potatoes seed, fresh or chilled"
21,840,USA,004,Afghanistan,85, Electric motors of an output < 37.5 watts,109518416.0,2387.991,USA -  Electric motors of an output < 37.5 watts
22,364,Iran,004,Afghanistan,08," Coconuts, fresh or dried",105355097.0,188291.941,"Iran -  Coconuts, fresh or dried"
23,364,Iran,004,Afghanistan,04, Milk not concentrated nor sweetened < 1% fat,103111464.0,46498.403,Iran -  Milk not concentrated nor sweetened < 1% fat
24,364,Iran,004,Afghanistan,19," Infant foods of cereals, flour, starch or milk, retai",103055254.0,81789.472,"Iran -  Infant foods of cereals, flour, starch or milk, retai"
25,458,Malaysia,004,Afghanistan,15," Lard, other pig fat and poultry fat, rendered",101022193.0,132882.906,"Malaysia -  Lard, other pig fat and poultry fat, rendered"
