,exp_code_str3,exp_name,imp_code_str3,imp_name,USD,tonne
0,012,Algeria,380,Italy,6757405378.0,16493875.006
1,012,Algeria,724,Spain,5513002059.0,14818805.738000002
2,012,Algeria,250,France,4923044086.0,9805911.957
3,012,Algeria,840,USA,4756699813.0,6363430.602
4,012,Algeria,826,United Kingdom,2896148521.0,5079097.12
5,012,Algeria,076,Brazil,2510119066.0,4739271.181
6,012,Algeria,410,Rep. of Korea,1965024972.0,3309406.388
7,012,Algeria,356,India,1634811985.0,3231527.3
8,012,Algeria,528,Netherlands,1192186292.0,2015856.724
9,012,Algeria,156,China,1177627903.0,1872626.886
10,012,Algeria,792,TÃ¼rkiye,1158500207.0,2067791.4239999999
11,012,Algeria,788,Tunisia,972822104.0,452444.988
12,012,Algeria,504,Morocco,741548924.0,1945661.738
13,012,Algeria,276,Germany,737602250.0,1252627.953
14,012,Algeria,620,Portugal,581443547.0,1100852.516
15,012,Algeria,036,Australia,562467013.0,1226856.951
16,012,Algeria,192,Cuba,372085979.0,558655.639
17,012,Algeria,360,Indonesia,372027503.0,626240.12
18,012,Algeria,056,Belgium,331328489.0,556395.43
19,012,Algeria,764,Thailand,321956147.0,673776.613
20,012,Algeria,300,Greece,318433548.0,832025.205
21,012,Algeria,490,"Other Asia, nes",300826965.0,470680.882
22,012,Algeria,124,Canada,208139274.0,401660.929
23,012,Algeria,392,Japan,194087374.0,319070.284
24,012,Algeria,372,Ireland,127266299.0,238234.723
25,012,Algeria,040,Austria,97284749.0,168285.188
26,012,Algeria,458,Malaysia,88764088.0,142792.32100000003
27,012,Algeria,032,Argentina,86999371.0,280037.14
28,012,Algeria,784,United Arab Emirates,80131046.0,103609.608
29,012,Algeria,400,Jordan,79696083.0,167212.405
30,012,Algeria,586,Pakistan,56324752.0,126986.496
31,012,Algeria,203,Czechia,44188652.0,81899.5
32,012,Algeria,756,Switzerland,40039062.0,28375.479
33,012,Algeria,616,Poland,37931422.0,355940.896
34,012,Algeria,422,Lebanon,31345304.0,61078.351
35,012,Algeria,562,Niger,28897663.0,99159.765
36,012,Algeria,196,Cyprus,19411171.0,31713.244
37,012,Algeria,858,Uruguay,17736582.0,109052.40100000001
38,012,Algeria,170,Colombia,17353027.0,56486.094
39,012,Algeria,384,CÃ´te d'Ivoire,16521536.0,154444.87900000002
40,012,Algeria,642,Romania,13545370.0,14087.955000000002
41,012,Algeria,288,Ghana,12762277.0,77803.379
42,012,Algeria,578,Norway,12586270.0,41312.75
43,012,Algeria,643,Russian Federation,10499995.0,6579.286999999999
44,012,Algeria,100,Bulgaria,10257564.0,25623.938000000002
45,012,Algeria,854,Burkina Faso,10074685.0,14677.771
46,012,Algeria,214,Dominican Rep.,8244081.0,0.501
47,012,Algeria,752,Sweden,7267353.0,19987.143
48,012,Algeria,604,Peru,5410976.0,19045.409
49,012,Algeria,466,Mali,3915471.0,10856.470000000001
50,012,Algeria,704,Viet Nam,3776110.0,9879.994999999999
51,012,Algeria,191,Croatia,3626436.0,44396.814999999995
52,012,Algeria,344,"China, Hong Kong SAR",2648517.0,1003.466
53,012,Algeria,376,Israel,2567000.0,51.348
54,012,Algeria,470,Malta,2378756.0,307.511
55,012,Algeria,554,New Zealand,2199381.0,15000.388
56,012,Algeria,807,North Macedonia,1664270.0,4136.237
57,012,Algeria,703,Slovakia,1447290.0,259.253
58,012,Algeria,031,Azerbaijan,1417580.0,886.347
59,012,Algeria,600,Paraguay,1408091.0,1905.147
60,012,Algeria,188,Costa Rica,1311634.0,4350.030000000001
61,012,Algeria,499,Montenegro,1160658.0,2899.02
62,012,Algeria,320,Guatemala,1075631.0,3348.288
63,012,Algeria,233,Estonia,834338.0,169.929
64,012,Algeria,710,South Africa,729332.0,751.294
65,012,Algeria,112,Belarus,645100.0,0.657
66,012,Algeria,414,Kuwait,581329.0,98.455
67,012,Algeria,430,Liberia,556539.0,843.972
68,012,Algeria,705,Slovenia,382986.0,71.854
69,012,Algeria,024,Angola,376052.0,116.358
70,012,Algeria,246,Finland,335796.0,99.728
71,012,Algeria,702,Singapore,205510.0,16.627000000000002
72,012,Algeria,208,Denmark,191839.0,64.415
73,012,Algeria,068,Bolivia (Plurinational State of),157171.0,410.0
74,012,Algeria,048,Bahrain,149460.0,13.86
75,012,Algeria,768,Togo,145322.0,697.9979999999999
76,012,Algeria,688,Serbia,133531.0,4.428
77,012,Algeria,834,United Rep. of Tanzania,128618.0,37.85
78,012,Algeria,480,Mauritius,105358.0,50.231
79,012,Algeria,398,Kazakhstan,105011.0,149.174
80,012,Algeria,887,Yemen,100371.0,98.271
81,012,Algeria,070,Bosnia Herzegovina,89295.0,41.135
82,012,Algeria,304,Greenland,82359.0,10.643
83,012,Algeria,178,Congo,74543.0,126.111
84,012,Algeria,440,Lithuania,72159.0,40.825
85,012,Algeria,512,Oman,56245.0,24.733
86,012,Algeria,800,Uganda,54619.0,57.885
87,012,Algeria,508,Mozambique,45301.0,3.5220000000000002
88,012,Algeria,462,Maldives,42844.0,3.45
89,012,Algeria,442,Luxembourg,39816.0,6.469
90,012,Algeria,348,Hungary,39019.0,5.052
91,012,Algeria,450,Madagascar,33314.0,39.519999999999996
92,012,Algeria,116,Cambodia,31520.0,43.369
93,012,Algeria,352,Iceland,27168.0,5.101
94,012,Algeria,646,Rwanda,16878.0,0.434
95,012,Algeria,591,Panama,8162.000000000001,13.356
