,exp_code_str3,exp_name,imp_code_str3,imp_name,HS2,description,USD,tonne,clean_desc
0,012,Algeria,380,Italy,27," Anthracite, not agglomerated",6669883884.0,16293623.1,"Italy -  Anthracite, not agglomerated"
1,012,Algeria,724,Spain,27," Anthracite, not agglomerated",5212238877.0,13979705.642,"Spain -  Anthracite, not agglomerated"
2,012,Algeria,250,France,27," Anthracite, not agglomerated",4575047225.0,9044007.913,"France -  Anthracite, not agglomerated"
3,012,Algeria,840,USA,27," Anthracite, not agglomerated",4610633945.0,5917513.484,"USA -  Anthracite, not agglomerated"
4,012,Algeria,826,United Kingdom,27," Anthracite, not agglomerated",2849134504.0,4984693.8,"United Kingdom -  Anthracite, not agglomerated"
5,012,Algeria,076,Brazil,27," Anthracite, not agglomerated",2181633431.0,3559665.093,"Brazil -  Anthracite, not agglomerated"
6,012,Algeria,410,Rep. of Korea,27," Anthracite, not agglomerated",1945704688.0,3260147.7,"Rep. of Korea -  Anthracite, not agglomerated"
7,012,Algeria,356,India,27," Anthracite, not agglomerated",1513419784.0,2673744.0,"India -  Anthracite, not agglomerated"
8,012,Algeria,528,Netherlands,27," Anthracite, not agglomerated",1128394011.0,1891931.7,"Netherlands -  Anthracite, not agglomerated"
9,012,Algeria,156,China,27," Anthracite, not agglomerated",1158594044.0,1833352.96,"China -  Anthracite, not agglomerated"
10,012,Algeria,792,TÃ¼rkiye,27," Anthracite, not agglomerated",1049608556.0,1772593.8,"TÃ¼rkiye -  Anthracite, not agglomerated"
11,012,Algeria,504,Morocco,27," Anthracite, not agglomerated",663077677.0,1732195.31,"Morocco -  Anthracite, not agglomerated"
12,012,Algeria,036,Australia,27," Anthracite, not agglomerated",558618860.0,1195340.4,"Australia -  Anthracite, not agglomerated"
13,012,Algeria,276,Germany,27," Anthracite, not agglomerated",697855961.0,1195012.196,"Germany -  Anthracite, not agglomerated"
14,012,Algeria,076,Brazil,31," Animal or vegetable fertilizers, in packs >10 kg",315357991.0,1056986.06,"Brazil -  Animal or vegetable fertilizers, in packs >10 kg"
15,012,Algeria,620,Portugal,27," Anthracite, not agglomerated",531935962.0,978448.84,"Portugal -  Anthracite, not agglomerated"
16,012,Algeria,300,Greece,27," Anthracite, not agglomerated",306617413.0,710910.0599999999,"Greece -  Anthracite, not agglomerated"
17,012,Algeria,764,Thailand,27," Anthracite, not agglomerated",320286316.0,671073.2,"Thailand -  Anthracite, not agglomerated"
18,012,Algeria,360,Indonesia,27," Anthracite, not agglomerated",369181754.0,618711.6,"Indonesia -  Anthracite, not agglomerated"
19,012,Algeria,192,Cuba,27," Anthracite, not agglomerated",366445979.0,546655.639,"Cuba -  Anthracite, not agglomerated"
20,012,Algeria,056,Belgium,27," Anthracite, not agglomerated",319459792.0,535285.33,"Belgium -  Anthracite, not agglomerated"
21,012,Algeria,490,"Other Asia, nes",27," Anthracite, not agglomerated",293176391.0,445630.0,"Other Asia, nes -  Anthracite, not agglomerated"
22,012,Algeria,840,USA,31," Animal or vegetable fertilizers, in packs >10 kg",111382266.0,422285.0,"USA -  Animal or vegetable fertilizers, in packs >10 kg"
23,012,Algeria,250,France,31," Animal or vegetable fertilizers, in packs >10 kg",117574254.0,420720.033,"France -  Animal or vegetable fertilizers, in packs >10 kg"
24,012,Algeria,724,Spain,28, Chlorine,144503932.0,405045.585,Spain -  Chlorine
25,012,Algeria,124,Canada,27," Anthracite, not agglomerated",190558741.0,361815.062,"Canada -  Anthracite, not agglomerated"
26,012,Algeria,392,Japan,27," Anthracite, not agglomerated",193127636.0,319022.0,"Japan -  Anthracite, not agglomerated"
27,012,Algeria,616,Poland,25," Salt (sodium chloride) including solution, salt water",22047570.0,307918.532,"Poland -  Salt (sodium chloride) including solution, salt water"
28,012,Algeria,724,Spain,31," Animal or vegetable fertilizers, in packs >10 kg",80541336.0,290574.904,"Spain -  Animal or vegetable fertilizers, in packs >10 kg"
29,012,Algeria,788,Tunisia,27," Anthracite, not agglomerated",876725868.0,273297.3,"Tunisia -  Anthracite, not agglomerated"
30,012,Algeria,356,India,25," Salt (sodium chloride) including solution, salt water",19258951.0,253446.5,"India -  Salt (sodium chloride) including solution, salt water"
31,012,Algeria,356,India,31," Animal or vegetable fertilizers, in packs >10 kg",65565888.99999999,253221.0,"India -  Animal or vegetable fertilizers, in packs >10 kg"
32,012,Algeria,250,France,28, Chlorine,129138374.0,235923.95700000002,France -  Chlorine
33,012,Algeria,032,Argentina,31," Animal or vegetable fertilizers, in packs >10 kg",66291494.99999999,221400.0,"Argentina -  Animal or vegetable fertilizers, in packs >10 kg"
34,012,Algeria,372,Ireland,27," Anthracite, not agglomerated",97934898.0,170684.0,"Ireland -  Anthracite, not agglomerated"
35,012,Algeria,040,Austria,27," Anthracite, not agglomerated",94410733.0,168020.0,"Austria -  Anthracite, not agglomerated"
36,012,Algeria,792,TÃ¼rkiye,28, Chlorine,51526647.0,153639.216,TÃ¼rkiye -  Chlorine
37,012,Algeria,504,Morocco,28, Chlorine,42281772.0,144319.14500000002,Morocco -  Chlorine
38,012,Algeria,458,Malaysia,27," Anthracite, not agglomerated",87293235.0,141898.40000000002,"Malaysia -  Anthracite, not agglomerated"
39,012,Algeria,384,CÃ´te d'Ivoire,25," Salt (sodium chloride) including solution, salt water",7887673.0,140307.71500000003,"CÃ´te d'Ivoire -  Salt (sodium chloride) including solution, salt water"
40,012,Algeria,586,Pakistan,27," Anthracite, not agglomerated",56086996.0,126972.2,"Pakistan -  Anthracite, not agglomerated"
41,012,Algeria,528,Netherlands,28, Chlorine,51842019.0,117800.0,Netherlands -  Chlorine
42,012,Algeria,076,Brazil,25," Salt (sodium chloride) including solution, salt water",10084801.0,116299.959,"Brazil -  Salt (sodium chloride) including solution, salt water"
43,012,Algeria,300,Greece,25," Salt (sodium chloride) including solution, salt water",7792788.0,113447.373,"Greece -  Salt (sodium chloride) including solution, salt water"
44,012,Algeria,620,Portugal,28, Chlorine,34211961.0,99517.8,Portugal -  Chlorine
45,012,Algeria,400,Jordan,17," Raw sugar, cane",43134270.0,95005.0,"Jordan -  Raw sugar, cane"
46,012,Algeria,788,Tunisia,17," Raw sugar, cane",32424680.0,90200.0,"Tunisia -  Raw sugar, cane"
47,012,Algeria,784,United Arab Emirates,27," Anthracite, not agglomerated",55559715.0,87827.26000000001,"United Arab Emirates -  Anthracite, not agglomerated"
48,012,Algeria,203,Czechia,27," Anthracite, not agglomerated",42683842.0,81739.0,"Czechia -  Anthracite, not agglomerated"
