,exp_code_str3,exp_name,imp_code_str3,imp_name,HS2,description,USD,tonne,clean_desc
0,702,Singapore,016,American Samoa,27," Anthracite, not agglomerated",34029691.0,52615.48,"Singapore -  Anthracite, not agglomerated"
1,458,Malaysia,016,American Samoa,27," Anthracite, not agglomerated",9841166.0,15785.3,"Malaysia -  Anthracite, not agglomerated"
2,554,New Zealand,016,American Samoa,25," Salt (sodium chloride) including solution, salt water",1523883.0,13036.758,"New Zealand -  Salt (sodium chloride) including solution, salt water"
3,490,"Other Asia, nes",016,American Samoa,03," Ornamental fish, live",13868298.0,4812.077,"Other Asia, nes -  Ornamental fish, live"
4,242,Fiji,016,American Samoa,69," Bricks, blocks and ceramic goods of siliceous earths",184713.0,3822.0,"Fiji -  Bricks, blocks and ceramic goods of siliceous earths"
5,554,New Zealand,016,American Samoa,44, Fuel wood,1994013.0,3583.36,New Zealand -  Fuel wood
6,242,Fiji,016,American Samoa,03," Ornamental fish, live",8563752.0,3508.062,"Fiji -  Ornamental fish, live"
7,300,Greece,016,American Samoa,27," Anthracite, not agglomerated",2634285.0,3444.02,"Greece -  Anthracite, not agglomerated"
8,242,Fiji,016,American Samoa,48, Newsprint,4407030.0,2999.438,Fiji -  Newsprint
9,124,Canada,016,American Samoa,44, Fuel wood,1061053.0,1968.449,Canada -  Fuel wood
10,036,Australia,016,American Samoa,04, Milk not concentrated nor sweetened < 1% fat,1704794.0,1465.9940000000001,Australia -  Milk not concentrated nor sweetened < 1% fat
11,242,Fiji,016,American Samoa,27," Anthracite, not agglomerated",678818.0,1058.05,"Fiji -  Anthracite, not agglomerated"
12,554,New Zealand,016,American Samoa,27," Anthracite, not agglomerated",629842.0,1038.245,"New Zealand -  Anthracite, not agglomerated"
13,490,"Other Asia, nes",016,American Samoa,22, Mineral and aerated waters not sweetened or flavoured,458378.0,987.356,"Other Asia, nes -  Mineral and aerated waters not sweetened or flavoured"
14,554,New Zealand,016,American Samoa,17," Raw sugar, cane",698450.0,932.608,"New Zealand -  Raw sugar, cane"
15,242,Fiji,016,American Samoa,22, Mineral and aerated waters not sweetened or flavoured,498928.0,687.284,Fiji -  Mineral and aerated waters not sweetened or flavoured
16,764,Thailand,016,American Samoa,68," Stone setts, curbstones, flagstones (except slate)",148675.0,681.1569999999999,"Thailand -  Stone setts, curbstones, flagstones (except slate)"
17,360,Indonesia,016,American Samoa,72," Pig iron, non-alloy, <0.5% phosphorus",239085.0,396.935,"Indonesia -  Pig iron, non-alloy, <0.5% phosphorus"
18,554,New Zealand,016,American Samoa,04, Milk not concentrated nor sweetened < 1% fat,999886.0,385.885,New Zealand -  Milk not concentrated nor sweetened < 1% fat
19,036,Australia,016,American Samoa,19," Infant foods of cereals, flour, starch or milk, retai",517980.0,379.207,"Australia -  Infant foods of cereals, flour, starch or milk, retai"
20,554,New Zealand,016,American Samoa,22, Mineral and aerated waters not sweetened or flavoured,509641.0,375.326,New Zealand -  Mineral and aerated waters not sweetened or flavoured
21,554,New Zealand,016,American Samoa,94," Seats, aircraft",806619.0,372.308,"New Zealand -  Seats, aircraft"
22,124,Canada,016,American Samoa,11, Wheat or meslin flour,184962.0,365.547,Canada -  Wheat or meslin flour
23,242,Fiji,016,American Samoa,19," Infant foods of cereals, flour, starch or milk, retai",1064184.0,346.866,"Fiji -  Infant foods of cereals, flour, starch or milk, retai"
24,410,Rep. of Korea,016,American Samoa,27," Anthracite, not agglomerated",787046.0,340.585,"Rep. of Korea -  Anthracite, not agglomerated"
25,554,New Zealand,016,American Samoa,02," Bovine carcasses and half carcasses, fresh or chilled",1527830.0,339.134,"New Zealand -  Bovine carcasses and half carcasses, fresh or chilled"
26,490,"Other Asia, nes",016,American Samoa,72," Pig iron, non-alloy, <0.5% phosphorus",319190.0,338.0,"Other Asia, nes -  Pig iron, non-alloy, <0.5% phosphorus"
27,554,New Zealand,016,American Samoa,72," Pig iron, non-alloy, <0.5% phosphorus",442413.0,321.366,"New Zealand -  Pig iron, non-alloy, <0.5% phosphorus"
28,242,Fiji,016,American Samoa,72," Pig iron, non-alloy, <0.5% phosphorus",462513.0,310.648,"Fiji -  Pig iron, non-alloy, <0.5% phosphorus"
29,392,Japan,016,American Samoa,03," Ornamental fish, live",934998.0,297.25,"Japan -  Ornamental fish, live"
30,764,Thailand,016,American Samoa,44, Fuel wood,122667.0,295.46799999999996,Thailand -  Fuel wood
31,554,New Zealand,016,American Samoa,23," Flour or meal, pellet of meat or offal for animal fee",136542.0,276.604,"New Zealand -  Flour or meal, pellet of meat or offal for animal fee"
32,036,Australia,016,American Samoa,08," Coconuts, fresh or dried",337841.0,271.04,"Australia -  Coconuts, fresh or dried"
33,410,Rep. of Korea,016,American Samoa,19," Infant foods of cereals, flour, starch or milk, retai",1300424.0,251.736,"Rep. of Korea -  Infant foods of cereals, flour, starch or milk, retai"
34,764,Thailand,016,American Samoa,72," Pig iron, non-alloy, <0.5% phosphorus",141260.0,234.788,"Thailand -  Pig iron, non-alloy, <0.5% phosphorus"
35,554,New Zealand,016,American Samoa,39, Polyethylene - specific gravity <0.94 in primary form,834236.0,231.275,New Zealand -  Polyethylene - specific gravity <0.94 in primary form
36,554,New Zealand,016,American Samoa,20," Cucumbers,gherkins, prepared or preserved by vinegar",410490.0,226.236,"New Zealand -  Cucumbers,gherkins, prepared or preserved by vinegar"
37,826,United Kingdom,016,American Samoa,07," Potatoes seed, fresh or chilled",163728.0,220.0,"United Kingdom -  Potatoes seed, fresh or chilled"
38,036,Australia,016,American Samoa,02," Bovine carcasses and half carcasses, fresh or chilled",804119.0,215.39999999999998,"Australia -  Bovine carcasses and half carcasses, fresh or chilled"
39,076,Brazil,016,American Samoa,16," Sausages, similar products of meat, meat offal & bloo",200488.0,205.981,"Brazil -  Sausages, similar products of meat, meat offal & bloo"
40,242,Fiji,016,American Samoa,25," Salt (sodium chloride) including solution, salt water",212226.0,192.436,"Fiji -  Salt (sodium chloride) including solution, salt water"
41,360,Indonesia,016,American Samoa,22, Mineral and aerated waters not sweetened or flavoured,113265.0,189.82500000000002,Indonesia -  Mineral and aerated waters not sweetened or flavoured
42,554,New Zealand,016,American Samoa,73, Sheet piling of iron or steel,814283.0,179.664,New Zealand -  Sheet piling of iron or steel
43,554,New Zealand,016,American Samoa,84, Nuclear reactors,2199676.0,178.15900000000002,New Zealand -  Nuclear reactors
44,410,Rep. of Korea,016,American Samoa,73, Sheet piling of iron or steel,401132.0,176.593,Rep. of Korea -  Sheet piling of iron or steel
45,554,New Zealand,016,American Samoa,16," Sausages, similar products of meat, meat offal & bloo",1302499.0,155.236,"New Zealand -  Sausages, similar products of meat, meat offal & bloo"
46,410,Rep. of Korea,016,American Samoa,87, Pedestrian controlled tractors,1641176.0,149.427,Rep. of Korea -  Pedestrian controlled tractors
47,554,New Zealand,016,American Samoa,07," Potatoes seed, fresh or chilled",133002.0,143.146,"New Zealand -  Potatoes seed, fresh or chilled"
48,458,Malaysia,016,American Samoa,38, Artificial graphite,37318.0,136.052,Malaysia -  Artificial graphite
49,242,Fiji,016,American Samoa,73, Sheet piling of iron or steel,194898.0,133.135,Fiji -  Sheet piling of iron or steel
50,036,Australia,016,American Samoa,16," Sausages, similar products of meat, meat offal & bloo",992562.0,127.13,"Australia -  Sausages, similar products of meat, meat offal & bloo"
51,554,New Zealand,016,American Samoa,19," Infant foods of cereals, flour, starch or milk, retai",309794.0,118.476,"New Zealand -  Infant foods of cereals, flour, starch or milk, retai"
52,702,Singapore,016,American Samoa,44, Fuel wood,169191.0,106.404,Singapore -  Fuel wood
53,410,Rep. of Korea,016,American Samoa,94," Seats, aircraft",340267.0,104.926,"Rep. of Korea -  Seats, aircraft"
54,458,Malaysia,016,American Samoa,68," Stone setts, curbstones, flagstones (except slate)",22236.0,102.178,"Malaysia -  Stone setts, curbstones, flagstones (except slate)"
55,792,TÃ¼rkiye,016,American Samoa,27," Anthracite, not agglomerated",69418.0,100.0,"TÃ¼rkiye -  Anthracite, not agglomerated"
56,124,Canada,016,American Samoa,13, Lac,279052.0,98.8,Canada -  Lac
57,764,Thailand,016,American Samoa,17," Raw sugar, cane",51360.0,97.245,"Thailand -  Raw sugar, cane"
58,036,Australia,016,American Samoa,68," Stone setts, curbstones, flagstones (except slate)",283569.0,95.05,"Australia -  Stone setts, curbstones, flagstones (except slate)"
59,458,Malaysia,016,American Samoa,34," Soaps, for toilet use, solid",87971.0,90.42999999999999,"Malaysia -  Soaps, for toilet use, solid"
