,imp_code_str3,imp_name,HS2,description,USD,tonne
0,020,Andorra,87, Pedestrian controlled tractors,206757217.0,8879.166000000001
1,020,Andorra,27," Anthracite, not agglomerated",135021221.0,161821.802
2,020,Andorra,33, Essential oils of bergamot,123079852.0,4101.166
3,020,Andorra,85, Electric motors of an output < 37.5 watts,105316671.0,2680.149
4,020,Andorra,22, Mineral and aerated waters not sweetened or flavoured,91580304.0,44331.442
5,020,Andorra,84, Nuclear reactors,85569667.0,5339.423
6,020,Andorra,62," Mens, boys overcoats of wool or hair, not knit",75428306.0,1390.98
7,020,Andorra,61," Mens, boys overcoats, etc, of wool or hair, knit",41122769.0,753.128
8,020,Andorra,30," Glands and other organs, dried, for therapeutic uses",35617134.0,517.736
9,020,Andorra,02," Bovine carcasses and half carcasses, fresh or chilled",35470078.0,5978.122
10,020,Andorra,94," Seats, aircraft",34906687.0,3919.999
11,020,Andorra,64," Waterproof footwear (Wellingtons etc), metal toe cap",34556131.0,818.991
12,020,Andorra,24," Tobacco, unmanufactured, not stemmed or stripped",34408307.0,1790.895
13,020,Andorra,73, Sheet piling of iron or steel,33229635.0,12566.502999999999
14,020,Andorra,95," Rideable wheeled toys, dolls carriages",29521013.0,1241.331
15,020,Andorra,90," Optical fibres, except for telecommunications",29019714.0,249.887
16,020,Andorra,04, Milk not concentrated nor sweetened < 1% fat,28912807.0,13552.307999999999
17,020,Andorra,19," Infant foods of cereals, flour, starch or milk, retai",27524723.0,8354.311
18,020,Andorra,21," Coffee extracts, essences, concentrates, preparations",25635846.0,4584.978
19,020,Andorra,91," Wrist-watch, precious metal, battery, with hands",25145541.0,28.084
20,020,Andorra,39, Polyethylene - specific gravity <0.94 in primary form,23282172.0,5147.069
21,020,Andorra,48, Newsprint,22420714.0,5184.287
22,020,Andorra,16," Sausages, similar products of meat, meat offal & bloo",20611955.0,3322.705
23,020,Andorra,71," Pearls natural, not permanently mounted or set",18720892.0,276.331
24,020,Andorra,34," Soaps, for toilet use, solid",17735344.0,8230.668
25,020,Andorra,42," Saddlery and harness, of any material",16463760.0,524.784
26,020,Andorra,07," Potatoes seed, fresh or chilled",15346628.0,11828.296
27,020,Andorra,03," Ornamental fish, live",14544474.0,1702.534
28,020,Andorra,20," Cucumbers,gherkins, prepared or preserved by vinegar",14081971.0,6449.0830000000005
29,020,Andorra,44, Fuel wood,12773910.0,11578.203
30,020,Andorra,40," Natural rubber latex, including prevulcanised",12412384.0,1517.705
31,020,Andorra,49," Brochures, leaflets and similar, in single sheets",11474715.0,1068.036
32,020,Andorra,18," Cocoa beans, whole or broken, raw or roasted",11116999.0,1526.898
33,020,Andorra,63, Electric blankets of textile material,9793249.0,1469.123
34,020,Andorra,68," Stone setts, curbstones, flagstones (except slate)",9507138.0,28412.358
35,020,Andorra,08," Coconuts, fresh or dried",8262711.0,4599.1089999999995
36,020,Andorra,32, Quebracho tanning extract,8112442.0,2589.054
37,020,Andorra,76," Aluminium unwrought, not alloyed",8088328.0,1095.4950000000001
38,020,Andorra,25," Salt (sodium chloride) including solution, salt water",7726616.0,694221.251
39,020,Andorra,65," Hat-forms, etc of felt, not shaped, no formed brim",7601564.0,109.152
40,020,Andorra,09," Coffee, not roasted, not decaffeinated",7335009.0,614.178
41,020,Andorra,83, Padlocks of base metal,7263818.0,1001.5110000000001
42,020,Andorra,70," Glass cullet, waste or scrap, glass in the mass",6904666.0,2123.112
43,020,Andorra,15," Lard, other pig fat and poultry fat, rendered",6797652.0,2195.9790000000003
44,020,Andorra,69," Bricks, blocks and ceramic goods of siliceous earths",6609838.0,6316.975
45,020,Andorra,38, Artificial graphite,6600631.0,16254.615
46,020,Andorra,17," Raw sugar, cane",6514922.0,2211.543
47,020,Andorra,72," Pig iron, non-alloy, <0.5% phosphorus",5890396.0,7684.557000000001
48,020,Andorra,10, Durum wheat,5861200.0,16840.862
49,020,Andorra,96," Worked ivory, articles of ivory",5676185.0,531.679
50,020,Andorra,23," Flour or meal, pellet of meat or offal for animal fee",4463095.0,3107.1639999999998
51,020,Andorra,82, Spades and shovels,4364522.0,283.654
52,020,Andorra,89," Cruise ships, excursion boats, ferry boats",2557106.0,98.982
53,020,Andorra,56," Sanitary towels, diapers and similar articles",1905595.0,208.17700000000002
54,020,Andorra,06," Bulbs, tubers, corms, crowns and rhizomes, dormant",1715154.0,614.596
55,020,Andorra,92," Upright pianos, including auto-players",1321213.0,17.436
56,020,Andorra,28, Chlorine,1138534.0,1020.263
57,020,Andorra,93," Military weapons, other than hand guns, swords, etc",1024785.0,28.056
58,020,Andorra,57," Carpets of wool or fine animal hair, knotted",1016436.0,75.866
59,020,Andorra,29, Saturated acyclic hydrocarbons,1012994.0,117.93299999999999
60,020,Andorra,66, Garden and similar umbrellas,998605.0,107.521
61,020,Andorra,11, Wheat or meslin flour,962794.0,1827.506
62,020,Andorra,35, Casein,664942.0,127.75800000000001
63,020,Andorra,37, X-ray plates and films,629777.0,19.297
64,020,Andorra,74, Copper mattes,625557.0,26.36
65,020,Andorra,86," Rail locomotives, externally electrically powered",591789.0,201.138
66,020,Andorra,12, Soya beans,515354.0,3580.2850000000003
67,020,Andorra,43," Raw mink furskins, whole",490566.0,1.478
68,020,Andorra,31," Animal or vegetable fertilizers, in packs >10 kg",479979.0,1900.155
69,020,Andorra,55," Filament tow of nylon, polyamides",469797.0,42.885999999999996
70,020,Andorra,59, Gum or amylaceous covered textiles for book covers et,457286.0,42.732
71,020,Andorra,36, Propellent powders,384822.0,28.952
72,020,Andorra,54, Sewing thread of synthetic filaments,266137.0,41.149
73,020,Andorra,58," Woven pile fabric of wool or fine animal hair, w >30c",211161.0,4.844
74,020,Andorra,46, Plaits and products of plaiting materials,202465.0,46.01
75,020,Andorra,88," Gliders, hang gliders",186278.0,3.0309999999999997
76,020,Andorra,67," Bird skins and feathers, articles therefrom",164146.0,15.315999999999999
77,020,Andorra,01," Horses, live pure-bred breeding",121745.0,22.098
78,020,Andorra,05," Hair, human, unworked, waste of human hair",112593.0,17.121
79,020,Andorra,52," Cotton, not carded or combed",90505.0,3.637
80,020,Andorra,81," Powders, tungsten (wolfram)",86090.0,0.7260000000000001
81,020,Andorra,60," ""Long pile"" knit or crochet textile fabric",69021.0,2.719
82,020,Andorra,79," Zinc, not alloyed, unwrought, >99% pure",62857.0,6.313000000000001
83,020,Andorra,47, Mechanical wood pulp,37551.0,55.298
84,020,Andorra,51," Greasy shorn wool, not carded or combed",22687.0,1.4369999999999998
85,020,Andorra,53," Flax fibre, raw or retted",22486.0,0.873
86,020,Andorra,26," Iron ore, concentrate, not iron pyrites,unagglomerate",22443.0,17.514000000000003
87,020,Andorra,41," Bovine skins, whole, raw",21995.0,0.644
88,020,Andorra,45," Natural cork, raw or simply prepared",13952.0,2.322
89,020,Andorra,13, Lac,13304.0,0.48
90,020,Andorra,14, Bamboos used primarily for plaiting,8171.0,3.032
91,020,Andorra,80, Tin not alloyed unwrought,1496.0,0.062000000000000006
92,020,Andorra,50, Silk-worm cocoons suitable for reeling,990.0,0.009000000000000001
93,020,Andorra,78, Lead refined unwrought,106.0,0.03
