,exp_code_str3,exp_name,HS2,description,USD,tonne
0,024,Angola,27," Anthracite, not agglomerated",41031014267.0,76467783.048
1,024,Angola,71," Pearls natural, not permanently mounted or set",2654194265.0,1028.461
2,024,Angola,44, Fuel wood,197131693.0,184483.043
3,024,Angola,03," Ornamental fish, live",178729612.0,180889.605
4,024,Angola,89," Cruise ships, excursion boats, ferry boats",142955418.0,32787.371999999996
5,024,Angola,84, Nuclear reactors,119360792.0,24980.517
6,024,Angola,25," Salt (sodium chloride) including solution, salt water",52544942.0,494748.186
7,024,Angola,85, Electric motors of an output < 37.5 watts,29064240.0,4014.248
8,024,Angola,73, Sheet piling of iron or steel,28274654.0,12710.542
9,024,Angola,23," Flour or meal, pellet of meat or offal for animal fee",24367222.0,75552.842
10,024,Angola,90," Optical fibres, except for telecommunications",24078942.0,713.716
11,024,Angola,76," Aluminium unwrought, not alloyed",23180451.0,14641.625
12,024,Angola,22, Mineral and aerated waters not sweetened or flavoured,16771588.0,8702.015
13,024,Angola,74, Copper mattes,14547240.0,3696.487
14,024,Angola,72," Pig iron, non-alloy, <0.5% phosphorus",9165818.0,21812.831000000002
15,024,Angola,87, Pedestrian controlled tractors,8427472.0,4555.946
16,024,Angola,64," Waterproof footwear (Wellingtons etc), metal toe cap",8017488.0,4506.916
17,024,Angola,39, Polyethylene - specific gravity <0.94 in primary form,7014422.0,7831.4800000000005
18,024,Angola,96," Worked ivory, articles of ivory",6540247.0,1723.9489999999998
19,024,Angola,15," Lard, other pig fat and poultry fat, rendered",6484433.0,5844.639000000001
20,024,Angola,34," Soaps, for toilet use, solid",6460305.0,2925.743
21,024,Angola,26," Iron ore, concentrate, not iron pyrites,unagglomerate",6382747.0,131115.03
22,024,Angola,78, Lead refined unwrought,6306000.0,2804.219
23,024,Angola,94," Seats, aircraft",5975810.0,2642.702
24,024,Angola,11, Wheat or meslin flour,5847731.0,10762.109
25,024,Angola,17," Raw sugar, cane",5710874.0,9452.63
26,024,Angola,86," Rail locomotives, externally electrically powered",4123570.0,3093.889
27,024,Angola,82, Spades and shovels,3872144.0,435.17199999999997
28,024,Angola,83, Padlocks of base metal,3085916.0,544.524
29,024,Angola,79," Zinc, not alloyed, unwrought, >99% pure",2892211.0,1437.3890000000001
30,024,Angola,08," Coconuts, fresh or dried",2817004.0,3636.6229999999996
31,024,Angola,40," Natural rubber latex, including prevulcanised",2752646.0,956.7950000000001
32,024,Angola,48, Newsprint,2077411.0,3526.4900000000002
33,024,Angola,28, Chlorine,2052479.0,1410.381
34,024,Angola,09," Coffee, not roasted, not decaffeinated",1787358.0,877.5740000000001
35,024,Angola,88," Gliders, hang gliders",1735174.0,84.982
36,024,Angola,52," Cotton, not carded or combed",1580635.0,859.883
37,024,Angola,20," Cucumbers,gherkins, prepared or preserved by vinegar",1508247.0,722.8340000000001
38,024,Angola,36, Propellent powders,1354417.0,34.956
39,024,Angola,69," Bricks, blocks and ceramic goods of siliceous earths",969920.0,1134.787
40,024,Angola,16," Sausages, similar products of meat, meat offal & bloo",968825.0,448.018
41,024,Angola,01," Horses, live pure-bred breeding",949920.0,14.988
42,024,Angola,31," Animal or vegetable fertilizers, in packs >10 kg",860685.0,872.492
43,024,Angola,19," Infant foods of cereals, flour, starch or milk, retai",860555.0,483.248
44,024,Angola,91," Wrist-watch, precious metal, battery, with hands",739578.0,3.4330000000000003
45,024,Angola,29, Saturated acyclic hydrocarbons,684703.0,488.111
46,024,Angola,70," Glass cullet, waste or scrap, glass in the mass",636492.0,1314.1970000000001
47,024,Angola,07," Potatoes seed, fresh or chilled",566816.0,515.7810000000001
48,024,Angola,95," Rideable wheeled toys, dolls carriages",477460.0,93.458
49,024,Angola,63, Electric blankets of textile material,448087.0,263.613
50,024,Angola,10, Durum wheat,404326.0,429.771
51,024,Angola,38, Artificial graphite,359808.0,193.06
52,024,Angola,04, Milk not concentrated nor sweetened < 1% fat,333987.0,228.898
53,024,Angola,68," Stone setts, curbstones, flagstones (except slate)",322989.0,1526.018
54,024,Angola,47, Mechanical wood pulp,259170.0,1401.9
55,024,Angola,49," Brochures, leaflets and similar, in single sheets",238175.0,44.153
56,024,Angola,33, Essential oils of bergamot,206655.0,253.467
57,024,Angola,62," Mens, boys overcoats of wool or hair, not knit",189089.0,27.102
58,024,Angola,41," Bovine skins, whole, raw",185205.0,830.4820000000001
59,024,Angola,35, Casein,170069.0,87.988
60,024,Angola,32, Quebracho tanning extract,168184.0,83.96000000000001
61,024,Angola,24," Tobacco, unmanufactured, not stemmed or stripped",149285.0,23.246
62,024,Angola,02," Bovine carcasses and half carcasses, fresh or chilled",135547.0,52.827
63,024,Angola,56," Sanitary towels, diapers and similar articles",128270.0,52.075
64,024,Angola,75, Nickel mattes,112449.0,0.216
65,024,Angola,55," Filament tow of nylon, polyamides",111447.0,52.089999999999996
66,024,Angola,42," Saddlery and harness, of any material",101440.0,52.649
67,024,Angola,67," Bird skins and feathers, articles therefrom",81384.0,24.127000000000002
68,024,Angola,61," Mens, boys overcoats, etc, of wool or hair, knit",75822.0,12.082
69,024,Angola,21," Coffee extracts, essences, concentrates, preparations",65724.0,29.14
70,024,Angola,12, Soya beans,58497.0,137.191
71,024,Angola,65," Hat-forms, etc of felt, not shaped, no formed brim",55793.0,10.182
72,024,Angola,37, X-ray plates and films,40279.0,2.743
73,024,Angola,05," Hair, human, unworked, waste of human hair",36729.0,55.766
74,024,Angola,59, Gum or amylaceous covered textiles for book covers et,28988.0,12.799
75,024,Angola,14, Bamboos used primarily for plaiting,27498.0,7.597
76,024,Angola,57," Carpets of wool or fine animal hair, knotted",26781.0,26.425
77,024,Angola,81," Powders, tungsten (wolfram)",18058.0,0.989
78,024,Angola,92," Upright pianos, including auto-players",17545.0,4.401
79,024,Angola,30," Glands and other organs, dried, for therapeutic uses",16257.0,1.686
80,024,Angola,18," Cocoa beans, whole or broken, raw or roasted",15364.0,8.241
81,024,Angola,13, Lac,14848.0,3.3289999999999997
82,024,Angola,43," Raw mink furskins, whole",14708.0,30.0
83,024,Angola,66, Garden and similar umbrellas,14254.0,6.276
84,024,Angola,60," ""Long pile"" knit or crochet textile fabric",13655.0,7.973
85,024,Angola,45," Natural cork, raw or simply prepared",8768.0,0.311
86,024,Angola,46, Plaits and products of plaiting materials,7244.0,4.554
87,024,Angola,58," Woven pile fabric of wool or fine animal hair, w >30c",5050.0,1.4349999999999998
88,024,Angola,93," Military weapons, other than hand guns, swords, etc",3999.0,0.22599999999999998
89,024,Angola,54, Sewing thread of synthetic filaments,3962.0,2.713
90,024,Angola,51," Greasy shorn wool, not carded or combed",2340.0,1.086
91,024,Angola,06," Bulbs, tubers, corms, crowns and rhizomes, dormant",1327.0,0.11900000000000001
92,024,Angola,50, Silk-worm cocoons suitable for reeling,475.0,0.049
93,024,Angola,53," Flax fibre, raw or retted",448.0,1.6219999999999999
94,024,Angola,80, Tin not alloyed unwrought,39.0,0.009999999999999998
