,exp_code_str3,exp_name,imp_code_str3,imp_name,USD,tonne
0,028,Antigua and Barbuda,616,Poland,114577127.0,50315.546
1,028,Antigua and Barbuda,410,Rep. of Korea,7761512.0,35187.489
2,028,Antigua and Barbuda,214,Dominican Rep.,19414523.0,27065.687
3,028,Antigua and Barbuda,060,Bermuda,12529465.0,18325.87
4,028,Antigua and Barbuda,276,Germany,12855589.0,15927.689
5,028,Antigua and Barbuda,048,Bahrain,4078478.0,4628.658
6,028,Antigua and Barbuda,208,Denmark,1007341.0,4134.131
7,028,Antigua and Barbuda,196,Cyprus,2780875.0,1595.763
8,028,Antigua and Barbuda,764,Thailand,307316.0,901.971
9,028,Antigua and Barbuda,620,Portugal,38226.0,891.452
10,028,Antigua and Barbuda,840,USA,1953156.0,452.16799999999995
11,028,Antigua and Barbuda,490,"Other Asia, nes",228744.0,337.704
12,028,Antigua and Barbuda,710,South Africa,286741.0,303.305
13,028,Antigua and Barbuda,250,France,730465.0,294.777
14,028,Antigua and Barbuda,036,Australia,2910572.0,164.965
15,028,Antigua and Barbuda,024,Angola,426336.0,135.756
16,028,Antigua and Barbuda,724,Spain,107025.0,127.75200000000001
17,028,Antigua and Barbuda,586,Pakistan,60535.0,124.097
18,028,Antigua and Barbuda,356,India,99924.0,94.593
19,028,Antigua and Barbuda,300,Greece,183129.0,78.358
20,028,Antigua and Barbuda,690,Seychelles,130058.0,64.364
21,028,Antigua and Barbuda,826,United Kingdom,1282092.0,61.459
22,028,Antigua and Barbuda,178,Congo,109218.0,54.027
23,028,Antigua and Barbuda,056,Belgium,27632.0,46.291000000000004
24,028,Antigua and Barbuda,388,Jamaica,193350.0,44.951
25,028,Antigua and Barbuda,372,Ireland,186631.0,40.33
26,028,Antigua and Barbuda,124,Canada,142127.0,28.569000000000003
27,028,Antigua and Barbuda,768,Togo,40183.0,28.18
28,028,Antigua and Barbuda,528,Netherlands,361055.0,26.066000000000003
29,028,Antigua and Barbuda,784,United Arab Emirates,17572.0,24.431
30,028,Antigua and Barbuda,380,Italy,335753.0,23.21
31,028,Antigua and Barbuda,642,Romania,34359.0,20.627
32,028,Antigua and Barbuda,203,Czechia,128931.0,20.314
33,028,Antigua and Barbuda,384,CÃ´te d'Ivoire,7632.0,13.956
34,028,Antigua and Barbuda,554,New Zealand,47678.0,12.95
35,028,Antigua and Barbuda,288,Ghana,27711.0,8.474
36,028,Antigua and Barbuda,854,Burkina Faso,2159.0,8.39
37,028,Antigua and Barbuda,084,Belize,6979.0,6.098
38,028,Antigua and Barbuda,702,Singapore,1528010.0,3.142
39,028,Antigua and Barbuda,442,Luxembourg,26524.0,2.8890000000000002
40,028,Antigua and Barbuda,040,Austria,23810.0,2.736
41,028,Antigua and Barbuda,752,Sweden,11056.0,2.1039999999999996
42,028,Antigua and Barbuda,156,China,43227.0,1.768
43,028,Antigua and Barbuda,428,Latvia,10380.0,1.602
44,028,Antigua and Barbuda,756,Switzerland,47354.0,1.285
45,028,Antigua and Barbuda,320,Guatemala,45868.0,1.24
46,028,Antigua and Barbuda,705,Slovenia,1352.0,0.873
47,028,Antigua and Barbuda,703,Slovakia,1422.0,0.846
48,028,Antigua and Barbuda,070,Bosnia Herzegovina,8296.0,0.724
49,028,Antigua and Barbuda,076,Brazil,91009.0,0.675
50,028,Antigua and Barbuda,688,Serbia,3413.0,0.5640000000000001
51,028,Antigua and Barbuda,480,Mauritius,9903.0,0.522
52,028,Antigua and Barbuda,246,Finland,9181.0,0.464
53,028,Antigua and Barbuda,188,Costa Rica,10555.0,0.437
54,028,Antigua and Barbuda,558,Nicaragua,2725.0,0.322
55,028,Antigua and Barbuda,748,Eswatini,316.0,0.269
56,028,Antigua and Barbuda,112,Belarus,2900.0,0.237
57,028,Antigua and Barbuda,788,Tunisia,4346.0,0.181
58,028,Antigua and Barbuda,392,Japan,6182.0,0.154
59,028,Antigua and Barbuda,032,Argentina,3965.0,0.151
60,028,Antigua and Barbuda,104,Myanmar,218.0,0.103
61,028,Antigua and Barbuda,360,Indonesia,2872.0,0.078
62,028,Antigua and Barbuda,624,Guinea-Bissau,11458.0,0.077
63,028,Antigua and Barbuda,422,Lebanon,748.0,0.076
64,028,Antigua and Barbuda,304,Greenland,350.0,0.047
65,028,Antigua and Barbuda,792,TÃ¼rkiye,1574.0,0.032
66,028,Antigua and Barbuda,646,Rwanda,156.0,0.026
67,028,Antigua and Barbuda,218,Ecuador,513.0,0.019
68,028,Antigua and Barbuda,894,Zambia,16823.0,0.013
69,028,Antigua and Barbuda,643,Russian Federation,2390.0,0.011
70,028,Antigua and Barbuda,068,Bolivia (Plurinational State of),16.0,0.008
71,028,Antigua and Barbuda,348,Hungary,93.0,0.005
72,028,Antigua and Barbuda,152,Chile,256.0,0.003
73,028,Antigua and Barbuda,440,Lithuania,1598.0,0.003
74,028,Antigua and Barbuda,470,Malta,129.0,0.002
75,028,Antigua and Barbuda,170,Colombia,105.0,0.002
76,028,Antigua and Barbuda,222,El Salvador,199.0,0.002
77,028,Antigua and Barbuda,233,Estonia,96.0,0.002
78,028,Antigua and Barbuda,242,Fiji,221.0,0.001
79,028,Antigua and Barbuda,508,Mozambique,820.0,0.001
80,028,Antigua and Barbuda,504,Morocco,6.0,0.0
