,imp_code_str3,imp_name,HS2,description,USD,tonne
0,031,Azerbaijan,27," Anthracite, not agglomerated",816888477.0,2398176.457
1,031,Azerbaijan,10, Durum wheat,225423173.0,1158216.555
2,031,Azerbaijan,44, Fuel wood,267525364.0,977019.423
3,031,Azerbaijan,72," Pig iron, non-alloy, <0.5% phosphorus",375655201.0,554159.561
4,031,Azerbaijan,73, Sheet piling of iron or steel,904370238.0,408840.359
5,031,Azerbaijan,17," Raw sugar, cane",116223940.0,262131.231
6,031,Azerbaijan,31," Animal or vegetable fertilizers, in packs >10 kg",69068240.0,251894.733
7,031,Azerbaijan,25," Salt (sodium chloride) including solution, salt water",35441511.0,232215.875
8,031,Azerbaijan,28, Chlorine,113377514.0,210270.951
9,031,Azerbaijan,39, Polyethylene - specific gravity <0.94 in primary form,385364148.0,200675.054
10,031,Azerbaijan,69," Bricks, blocks and ceramic goods of siliceous earths",90288169.0,200514.162
11,031,Azerbaijan,07," Potatoes seed, fresh or chilled",46411443.0,194221.664
12,031,Azerbaijan,84, Nuclear reactors,2119363962.0,170240.419
13,031,Azerbaijan,15," Lard, other pig fat and poultry fat, rendered",146597587.0,159299.831
14,031,Azerbaijan,23," Flour or meal, pellet of meat or offal for animal fee",72204248.0,158108.325
15,031,Azerbaijan,68," Stone setts, curbstones, flagstones (except slate)",55307610.0,142933.662
16,031,Azerbaijan,70," Glass cullet, waste or scrap, glass in the mass",84439828.0,141909.313
17,031,Azerbaijan,87, Pedestrian controlled tractors,831816504.0,122145.644
18,031,Azerbaijan,08," Coconuts, fresh or dried",103642468.0,112160.444
19,031,Azerbaijan,22, Mineral and aerated waters not sweetened or flavoured,95378740.0,105852.693
20,031,Azerbaijan,48, Newsprint,145563405.0,103543.369
21,031,Azerbaijan,85, Electric motors of an output < 37.5 watts,908668547.0,83733.406
22,031,Azerbaijan,34," Soaps, for toilet use, solid",106008095.0,83509.066
23,031,Azerbaijan,94," Seats, aircraft",192775908.0,53569.784
24,031,Azerbaijan,38, Artificial graphite,121052606.0,53224.359
25,031,Azerbaijan,19," Infant foods of cereals, flour, starch or milk, retai",90092385.0,50597.74
26,031,Azerbaijan,02," Bovine carcasses and half carcasses, fresh or chilled",73409896.0,50099.881
27,031,Azerbaijan,04, Milk not concentrated nor sweetened < 1% fat,125143348.0,42123.977
28,031,Azerbaijan,12, Soya beans,39063957.0,38886.701
29,031,Azerbaijan,40," Natural rubber latex, including prevulcanised",117886707.0,38670.374
30,031,Azerbaijan,11, Wheat or meslin flour,15044747.0,35987.215000000004
31,031,Azerbaijan,29, Saturated acyclic hydrocarbons,59516193.0,29372.46
32,031,Azerbaijan,21," Coffee extracts, essences, concentrates, preparations",77305925.0,27299.807
33,031,Azerbaijan,32, Quebracho tanning extract,64440759.0,26106.684
34,031,Azerbaijan,89," Cruise ships, excursion boats, ferry boats",33928447.0,24538.12
35,031,Azerbaijan,18," Cocoa beans, whole or broken, raw or roasted",66534670.0,24319.185
36,031,Azerbaijan,01," Horses, live pure-bred breeding",47341328.0,24235.519
37,031,Azerbaijan,33, Essential oils of bergamot,129870506.0,22961.236
38,031,Azerbaijan,76," Aluminium unwrought, not alloyed",84332116.0,22380.468
39,031,Azerbaijan,20," Cucumbers,gherkins, prepared or preserved by vinegar",33294380.0,21565.509
40,031,Azerbaijan,24," Tobacco, unmanufactured, not stemmed or stripped",283646787.0,20936.154000000002
41,031,Azerbaijan,61," Mens, boys overcoats, etc, of wool or hair, knit",110216429.0,19756.990999999998
42,031,Azerbaijan,83, Padlocks of base metal,52185778.0,19481.113
43,031,Azerbaijan,96," Worked ivory, articles of ivory",66877144.0,18679.35
44,031,Azerbaijan,30," Glands and other organs, dried, for therapeutic uses",320244847.0,17445.536
45,031,Azerbaijan,09," Coffee, not roasted, not decaffeinated",57783447.0,15605.392000000002
46,031,Azerbaijan,64," Waterproof footwear (Wellingtons etc), metal toe cap",69426149.0,15567.736
47,031,Azerbaijan,54, Sewing thread of synthetic filaments,41348178.0,14834.25
48,031,Azerbaijan,86," Rail locomotives, externally electrically powered",134620458.0,12744.42
49,031,Azerbaijan,62," Mens, boys overcoats of wool or hair, not knit",109047408.0,11939.739
50,031,Azerbaijan,26," Iron ore, concentrate, not iron pyrites,unagglomerate",1077967.0,11878.104
51,031,Azerbaijan,03," Ornamental fish, live",19612702.0,11084.803
52,031,Azerbaijan,06," Bulbs, tubers, corms, crowns and rhizomes, dormant",24038102.0,10149.858
53,031,Azerbaijan,63, Electric blankets of textile material,32791983.0,10011.689
54,031,Azerbaijan,16," Sausages, similar products of meat, meat offal & bloo",26597424.0,8945.456
55,031,Azerbaijan,95," Rideable wheeled toys, dolls carriages",29332661.0,7909.0560000000005
56,031,Azerbaijan,57," Carpets of wool or fine animal hair, knotted",20478611.0,7328.515
57,031,Azerbaijan,35, Casein,15734873.0,6921.758
58,031,Azerbaijan,82, Spades and shovels,42177549.0,6533.499
59,031,Azerbaijan,90," Optical fibres, except for telecommunications",250503433.0,5481.267
60,031,Azerbaijan,56," Sanitary towels, diapers and similar articles",14813725.0,4908.739
61,031,Azerbaijan,60," ""Long pile"" knit or crochet textile fabric",16631630.0,4508.604
62,031,Azerbaijan,53," Flax fibre, raw or retted",3385825.0,3905.226
63,031,Azerbaijan,42," Saddlery and harness, of any material",22523496.0,3825.445
64,031,Azerbaijan,74, Copper mattes,21833892.0,3527.224
65,031,Azerbaijan,55," Filament tow of nylon, polyamides",9649905.0,3367.645
66,031,Azerbaijan,36, Propellent powders,6927262.0,3084.695
67,031,Azerbaijan,59, Gum or amylaceous covered textiles for book covers et,7815003.0,2891.5099999999998
68,031,Azerbaijan,49," Brochures, leaflets and similar, in single sheets",23172010.0,1938.433
69,031,Azerbaijan,58," Woven pile fabric of wool or fine animal hair, w >30c",6327867.0,1652.058
70,031,Azerbaijan,52," Cotton, not carded or combed",6276307.0,1592.962
71,031,Azerbaijan,14, Bamboos used primarily for plaiting,1017396.0,1205.445
72,031,Azerbaijan,79," Zinc, not alloyed, unwrought, >99% pure",2159421.0,647.376
73,031,Azerbaijan,88," Gliders, hang gliders",302006349.0,604.691
74,031,Azerbaijan,37, X-ray plates and films,4849796.0,581.495
75,031,Azerbaijan,65," Hat-forms, etc of felt, not shaped, no formed brim",3636868.0,523.622
76,031,Azerbaijan,91," Wrist-watch, precious metal, battery, with hands",16543924.0,423.678
77,031,Azerbaijan,93," Military weapons, other than hand guns, swords, etc",3849693.0,415.04200000000003
78,031,Azerbaijan,41," Bovine skins, whole, raw",1930461.0,404.85699999999997
