int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Cruise,71,20,2001,1995,2006,2005,1634162642,193304636,607,406,500,493,410,31702
Ferry-RoPax,205,22,1979,1989,1989,1990,3576681484,732878301,294,1701,854,1059,957,73552
General cargo,251,106,1989,1992,1994,1993,498122275,712774643,461,697,765,768,129,9817
Chemical tanker,46,31,2007,2006,2009,2009,705929867,1101735526,474,873,1145,1151,124,9564
Bulk carrier,23,12,1988,1989,2004,2004,496727476,824800119,518,1543,2829,2950,66,5082
Container,45,22,1999,2000,1996,1996,289136134,361926101,408,584,508,510,67,5114
Service - tug,11,7,1985,1986,1983,1984,1359211,875827,330,523,609,543,23,1763
Liquefied gas tanker,52,21,2010,2007,2011,2011,411806449,474317259,587,867,822,820,109,8327
Oil tanker,12,12,2004,2004,2004,2004,285232330,449803548,997,1182,1416,1419,70,5422
Service - other,13,6,1996,1998,1994,1986,8037268,4534482,614,617,847,820,22,1641
Ferry-pax only,46,8,1981,1980,1980,1980,51001938,23091332,1040,8228,4042,4448,89,6675
Miscellaneous - fishing,26,4,2002,1994,1986,1987,4804079,5331114,156,3938,650,854,36,2717
Ro-Ro,7,3,2012,2009,2009,2010,187185519,131414590,437,1421,720,642,33,2583
Offshore,2,1,2016,2016,2016,2016,603684,524715,67,67,67,67,0,36
