port_pair,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Arzew - Mostaganem,95,61,2006,2006,2004,2005,903821028,1330033539,193,340,313,320,139,10569
Annaba - Dellys,10,8,2000,2002,2003,2003,41503771,53917588,344,475,463,459,9,711
Skikda - Alger,191,41,2003,2005,2003,2004,1265429615,1897747883,277,387,405,412,428,32855
Dellys - Alger,67,55,2004,2003,2007,2007,372724984,509846104,231,484,412,390,93,7097
Alger - Bejaia,72,41,2004,2005,2006,2006,317625888,434125173,249,335,382,387,99,7496
Bejaia - Bethioua,5,5,2011,2011,2011,2011,81466304,136825269,401,551,589,602,13,963
Bethioua - Annaba,2,2,2014,2014,2016,2016,69079824,64335859,483,483,516,507,7,474
Ghazaouet - Oran,13,6,1990,1996,1985,1995,52898005,15064220,220,228,403,341,15,1158
Skikda - Collo,25,20,2011,2011,2010,2010,372890283,643172490,264,438,365,366,51,3935
Mostaganem - Tenes,27,18,2008,2004,2008,2010,46613960,58250963,253,277,290,300,21,1577
Annaba - Oran Dry Port,3,3,2001,2001,2006,2006,17814910,23606575,573,550,515,509,4,296
Oran Dry Port - Bejaia,11,11,2006,2006,2006,2006,71692176,92214093,478,1052,681,616,19,1481
Skikda - Annaba,71,47,2003,2003,2005,2005,164720936,183153244,121,220,190,196,65,4942
Annaba - Alger,72,41,2000,2001,2001,2001,259043288,314275423,339,596,445,441,89,6811
Mostaganem - Djen Djen,10,10,2010,2010,2013,2014,46423061,71504839,301,347,395,412,10,781
Mostaganem - Collo,6,6,2005,2005,2006,2006,25794663,34213599,695,812,821,811,8,611
Oran - Alger,39,23,2003,2004,2005,2006,135833484,110217439,331,1147,421,363,58,4453
Tenes - Skikda,4,4,2008,2008,2008,2008,12702969,18518842,641,615,599,599,2,188
Dellys - Bejaia,55,49,2004,2004,2008,2008,497853100,776834515,387,599,602,590,80,6155
Skikda - Bejaia,93,34,2005,2003,2003,2004,226320193,296874122,191,283,275,278,100,7565
Oran - Djen Djen,8,8,2008,2008,2008,2008,77996392,101947160,499,551,550,558,17,1303
Jijel - Bejaia,59,39,2006,2005,2010,2010,273202730,429825846,201,285,277,263,57,4347
Oran Dry Port - Djen Djen,5,5,2010,2010,2011,2011,48353000,78037282,373,421,448,456,12,919
Djen Djen - Skikda,41,25,2009,2005,2007,2008,120555094,164854182,131,414,259,261,37,2776
Bejaia - Mostaganem,28,24,2003,2003,2007,2008,132918397,219354646,358,393,414,406,36,2786
Oran Dry Port - Tenes,5,5,2003,2003,2001,2000,20291800,29969726,255,335,350,343,3,255
Annaba - Collo,34,31,2002,2003,2006,2006,133158068,177633795,268,376,422,414,34,2574
Alger - Collo,57,20,2003,2004,2005,2005,449234507,643873418,482,603,565,562,110,8474
Annaba - Arzew,11,11,2007,2007,2006,2005,96736523,136117457,680,980,955,1024,32,2447
Arzew - Alger,159,27,1997,2007,1998,1999,792935454,1042242376,245,365,393,393,357,27079
Mostaganem - Alger,71,25,1996,2006,1999,2002,189713864,191533284,203,310,335,375,69,5258
Annaba - Djen Djen,27,19,2002,2001,2002,2002,74788513,95674197,134,239,307,308,22,1650
Djen Djen - Collo,19,14,2006,2006,2009,2008,61912678,88592357,349,386,400,408,12,905
Arzew - Skikda,28,16,2005,2007,2006,2005,361333097,503810971,478,510,527,554,66,4946
Mostaganem - Dellys,4,4,2006,2006,2005,2005,8634353,13216435,380,403,401,403,4,326
Dellys - Skikda,17,12,2005,2005,2005,2005,168148068,246693726,381,508,510,544,36,2764
Alger - Cherchell,24,23,2001,2002,2003,2003,112044231,169213389,252,293,298,311,27,2054
Cherchell - Tenes,4,4,2006,2006,2007,2007,4237928,5742037,163,152,195,199,1,64
Tenes - Alger,22,19,1999,1999,2005,2006,48825436,64190319,125,324,303,295,15,1116
Mostaganem - Annaba,17,16,2006,2006,2009,2008,56290050,73468180,433,533,574,562,18,1356
Djen Djen - Alger,16,14,2006,2005,2003,2003,38636307,49614582,176,281,273,276,14,1051
Bejaia - Annaba,37,28,2001,2003,2003,2004,103041772,124962749,242,291,324,305,39,2972
Jijel - Collo,47,20,2007,2004,2008,2008,238091644,324685479,399,384,493,494,44,3392
Skikda - Jijel,27,9,2009,2008,2009,2009,136430483,200486387,397,461,424,426,23,1759
Jijel - Alger,11,7,2007,2006,2008,2008,107630596,145570314,858,819,792,785,28,2124
Collo - Bejaia,54,21,2005,2002,2004,2005,237218000,323519046,354,447,537,535,58,4446
Oran Dry Port - Skikda,3,3,2000,2000,2007,2007,14623262,20068498,606,953,926,974,5,373
Djen Djen - Bejaia,36,24,2004,2000,2004,2005,68531997,86072629,68,314,220,219,29,2231
Djen Djen - Arzew,6,6,2013,2013,2013,2012,43661572,58315548,400,444,420,416,15,1158
Bejaia - Tenes,25,19,1996,1998,1999,2000,46682732,67678088,232,369,376,401,18,1377
Alger - Bethioua,14,6,1998,2004,1998,1999,54060470,66971466,248,251,278,281,31,2363
Cherchell - Rouiba,2,2,1991,1991,2012,2012,1357738,1848613,122,122,191,193,0,24
Rouiba - Jijel,1,1,1970,1970,1970,1970,19338,15312,88,88,88,88,0,3
Jijel - El Kala,1,1,1970,1970,1970,1970,23758,18812,108,108,108,108,0,3
Skikda - Mostaganem,12,11,2000,1999,2004,2003,70371918,89417156,406,488,470,503,17,1249
Bejaia - Arzew,18,14,2004,2006,2007,2007,144248022,223157004,393,1181,410,379,30,2268
Arzew - Oran,10,9,2008,2007,2010,2008,39848545,46505289,374,1191,523,384,17,1280
Ghazaouet - Arzew,3,3,2009,2009,2008,2008,12375481,18094838,670,584,422,409,6,475
El Kala - Skikda,4,4,1999,1999,2008,2009,17384467,19488182,327,439,424,352,4,288
Arzew - Bethioua,47,29,2008,2007,2007,2007,587711226,629956208,105,398,288,308,162,12279
Tenes - Arzew,10,9,1996,1998,1998,1999,42292018,43985309,365,574,255,293,9,648
Tenes - Tipaza,2,2,1994,1994,1985,1985,25182064,35039225,405,405,700,701,3,227
Djen Djen - Tenes,2,2,2006,2006,2008,2009,4605144,6620489,401,401,446,450,1,97
Annaba - Tenes,2,2,2000,2000,2000,2000,2262750,3208794,340,340,340,340,1,44
Mostaganem - Bethioua,28,23,2006,2007,2006,2006,182209416,233847015,150,185,219,219,48,3723
Arzew - Cherchell,4,4,1986,1986,1989,1990,17842693,21481281,550,506,624,608,3,262
Oran Dry Port - Alger,42,18,2007,2004,2008,2008,96154402,119268984,221,336,294,289,30,2314
Bejaia - Oran,13,13,2004,2004,2006,2006,68290921,97241775,536,678,561,550,20,1513
Dellys - Oran,6,6,1998,1998,2007,2007,42015977,60678504,476,831,758,687,9,700
Mostaganem - Oran Dry Port,8,7,2002,2002,2007,2007,6518447,7817179,112,128,126,133,4,339
Mostaganem - Oran,8,8,2006,2006,2010,2010,43931874,60533047,211,446,483,457,9,724
Arzew - Dellys,3,3,2003,2003,2006,2005,23417648,25915335,510,2870,711,532,6,448
Oran Dry Port - Collo,5,5,1996,1996,2001,2001,24738517,31425483,435,493,552,523,5,352
Annaba - Oran,4,4,2004,2004,2006,2006,34270184,38381112,638,736,850,838,7,529
Arzew - Oran Dry Port,3,3,2013,2013,2013,2013,3628641,4703492,59,125,125,127,2,122
Collo - Dellys,16,13,2005,2004,2007,2008,123639635,171226617,688,539,723,720,25,1889
