int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Alger,1267,416,2001,2004,2005,2007,16114410268,19953002274,519,1308,938,1161,3768,289240
Annaba,481,298,2002,2003,2007,2008,7092753722,10716770763,821,1215,1394,1534,1208,92414
Arzew,883,432,2006,2006,2006,2007,36161123002,51369670132,843,1137,1216,1173,4643,348649
Mostaganem,553,275,1995,2003,2001,2004,6454843438,8471149996,469,1170,741,1012,1565,119712
Djen Djen,255,195,2005,2006,2010,2010,7308134945,10340002754,805,1557,1612,1933,894,68869
Oran,571,272,2002,2005,2006,2008,9000142611,11473415295,499,1400,1032,1313,2161,165557
Oran Dry Port,238,135,2003,2002,2008,2008,2721827940,4198594077,428,1114,1094,1186,737,56154
Tenes,210,153,1999,2000,2003,2003,1289931826,1751022436,838,1115,997,1044,309,23605
Bethioua,151,49,2007,2006,2008,2007,11590333789,10559054612,791,1233,1331,1328,1447,99612
Bejaia,677,455,2003,2005,2007,2007,19403116116,33072841528,802,1463,1561,1647,2533,194766
Skikda,610,386,2005,2006,2009,2009,17638921116,26562486385,668,1218,1095,1204,2213,165636
Jijel,44,40,2005,2005,2010,2010,1436543083,2003924345,986,1527,1691,2036,180,13867
Collo,160,142,2004,2005,2007,2008,4353999608,7082530275,959,1407,1378,1386,533,41049
Dellys,134,123,2004,2004,2007,2007,2486117292,3754303458,1034,1329,1453,1497,407,31214
Ghazaouet,137,57,2000,2004,2004,2005,900547965,1290301412,219,891,566,726,195,14899
El Kala,18,16,2000,2000,2002,2003,115217128,152243395,704,861,745,760,24,1875
Tipaza,5,5,2002,2002,2002,2003,41864094,46760628,1176,1185,1265,1466,11,837
Cherchell,19,19,2004,2004,2006,2007,574851359,877090699,1450,1507,1925,1984,76,5866
Rouiba,11,10,2002,2002,2008,2008,290135464,457876842,1042,1460,2205,2418,40,3100
Tlemcen,1,1,2011,2011,2011,2011,69418064,119793352,2104,2104,2104,2104,6,476
Beni Saf,1,1,2001,2001,2001,2001,5786079,7943817,983,983,983,983,2,117
Kherrata,2,2,2000,2000,1995,1994,15263044,24108505,593,593,645,671,14,1075
