int_dep_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Collo,145,142,2005,2005,2009,2009,9253044310,15764138368,1151,1983,2968,3116,1238,95296
Annaba,505,318,2002,2003,2007,2007,5466511766,7978192665,655,1047,1008,1055,996,76218
Mostaganem,530,233,1994,2002,2005,2008,7444327680,11313870889,364,1066,1017,1804,1470,112974
Arzew,901,469,2006,2006,2006,2006,50581716864,80198137248,976,1501,1749,1838,6246,473453
Bejaia,739,485,2003,2005,2009,2009,23085392477,40654369072,532,1102,1731,1900,2554,196769
Rouiba,7,7,2000,2000,1999,1999,42114869,53491196,740,993,811,819,13,1032
Skikda,581,366,2006,2006,2010,2010,33007137202,54459453778,643,1869,2080,2495,4042,307126
Dellys,103,95,2003,2003,2005,2006,2121086359,3248841388,1026,1367,1614,1657,351,27023
Alger,1227,390,2001,2003,2003,2005,10896593255,11889971698,464,826,660,738,2768,212399
Oran,557,264,2002,2004,2005,2007,6239730098,7265561466,366,1001,738,877,1474,113060
Oran Dry Port,243,134,2003,2002,2006,2006,1453507516,2088067232,363,712,573,580,333,25429
Ghazaouet,130,52,1999,2003,2002,2004,871961791,1165918631,555,699,579,699,199,15248
Jijel,48,46,2005,2005,2009,2009,1132040862,1062270733,779,1251,1293,1044,198,15162
Djen Djen,236,184,2005,2006,2011,2011,4979050507,5977442541,581,949,1185,1211,523,40224
Tenes,211,155,1999,2000,2000,2001,1281073863,1731208718,478,839,1044,1063,261,19780
Bethioua,224,72,2007,2008,2009,2009,16948818723,16345884035,749,1443,1426,1435,2003,136796
Tipaza,9,9,2003,2003,2008,2009,152932921,165153677,1437,4420,2643,2557,40,3038
El Kala,15,14,2001,2001,2006,2007,230371617,343420370,843,1248,1645,1682,38,2959
Tlemcen,1,1,2011,2011,2011,2011,39388901,67972632,1194,1194,1194,1194,3,270
Cherchell,13,12,2008,2008,2007,2008,212418116,303998730,987,1111,1040,1016,38,2937
Kherrata,1,1,2008,2008,2008,2008,2452571,3392641,247,247,247,247,1,50
Beni Saf,2,2,2011,2011,2011,2011,5580371,7619808,493,493,242,223,1,60
