int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Oil tanker,519,340,2009,2008,2009,2009,75803285710,138910371459,1346,2985,2927,2937,7698,594401
General cargo,1693,653,2001,2001,2005,2005,8651140912,11635393240,529,859,848,847,2016,154304
Chemical tanker,516,322,2007,2008,2009,2009,11450347837,18393062294,742,1138,1224,1232,2285,176065
Bulk carrier,787,583,2008,2008,2007,2007,27481815723,45906360252,932,1277,1392,1392,2598,200543
Container,1286,129,2003,2003,2004,2004,9424838139,11890231335,455,638,632,627,2576,196800
Ferry-RoPax,574,15,1990,1994,1995,1996,5198978927,862801342,226,288,421,409,1953,150384
Vehicle,41,26,2006,2009,2011,2011,2201356267,719018950,897,1221,1254,1264,141,10874
Ferry-pax only,2,2,1997,1997,2003,2003,2050715,659993,3388,3388,4211,4314,5,338
Offshore,11,9,2000,2001,2000,1998,428865264,606369838,731,2218,3750,4274,104,7861
Liquefied gas tanker,666,86,2006,2007,2006,2005,33244352643,31898932590,777,1610,1255,1286,4681,329861
Refrigerated bulk,51,36,1993,1994,1994,1994,389333851,423974379,514,1085,1100,1060,233,17642
Service - tug,30,29,2000,2001,2010,2010,77440253,45212458,1234,2081,3846,3681,96,7215
Ro-Ro,213,18,1989,1994,1992,1992,857296343,595117033,459,827,548,550,300,22967
Miscellaneous - fishing,19,12,1999,1996,1985,1989,8761201,4864693,501,687,872,780,21,1613
Service - other,16,15,2004,2004,2004,2003,183807033,191577611,992,3358,3535,4663,78,5755
Cruise,4,3,2016,2016,2016,2016,43581822,4430049,229,226,228,228,9,680
