int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Luanda,822,491,2006,2006,2008,2008,36732674767,47197322480,1162,2019,1707,1783,6249,482024
Gimboa,44,43,2010,2010,2011,2011,26355879866,50416457135,6967,5245,5325,5322,1184,91629
Greater Plutonio,37,36,2007,2007,2012,2012,17744189758,34023258658,3226,4493,5172,5231,769,59490
Dalia,81,76,2010,2010,2010,2010,46093394961,87582616798,5180,4667,5040,5041,2243,173674
Girassol,92,84,2008,2008,2008,2008,41956442731,80817252833,3256,3880,4848,4912,2025,156740
Futila,94,81,2011,2011,2011,2011,53667647477,100660084890,6313,5058,5473,5461,2425,187818
Soyo,352,179,2007,2007,2011,2011,33460743573,34129620966,509,2532,3752,3563,3842,253624
Malongo,254,25,2011,2008,2010,2010,96524426,100875703,138,192,208,220,86,6454
Noqui,266,31,1998,1999,1998,1999,424300496,560640610,76,1299,1106,1025,185,14053
Cabinda,75,46,2007,2009,2011,2011,28340084166,54242934387,204,4246,6750,6858,1316,101782
Takula Terminal,22,13,2009,2009,2009,2009,385894503,483126501,161,888,3469,3315,38,2902
Namibe,39,24,1993,1993,1997,1999,267972919,290651525,558,1021,872,884,116,8814
Lobito,115,72,2003,2006,2008,2008,12881323901,22677733835,1411,2850,3640,3941,1077,83208
Amboim,6,6,2009,2009,2010,2010,3636774,4460770,26,213,422,629,1,111
Baia Dos Tigres,5,5,1999,1999,1998,1998,11934266,14620065,450,569,574,569,12,872
Porto Do Ambriz,11,10,2006,2008,2010,2010,87388940,105316539,1681,2196,2718,2764,33,2515
Porto Alexandre,22,15,1991,1991,1989,1991,235926436,152843004,1305,2530,4180,3180,73,5491
Dande,4,3,2014,2012,2017,2017,6540823,5983682,931,904,699,679,8,611
Palanca,10,10,2005,2005,2010,2010,2572284849,4956973608,1169,2264,3505,3544,132,10217
Kiame,4,4,2002,2002,2010,2011,237926130,455091713,1887,1794,2726,2752,19,1468
Saco,3,3,2011,2011,2013,2013,276453886,504803726,237,2346,4535,4766,20,1520
Benguela,2,1,1993,1993,1993,1993,2382029,3546921,484,484,484,484,1,61
