int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,284,111,2006,2007,2009,2009,2836288217,3791888354,385,1866,1390,1359,631,48428
Oil tanker,413,333,2010,2010,2010,2010,234049450444,448134620900,4503,4731,5061,5076,12168,942347
Chemical tanker,87,63,2009,2009,2010,2010,1799655857,2961261169,1094,1263,1414,1436,436,33430
Service - tug,402,78,2003,2008,2012,2011,331895533,271022735,79,1120,727,651,288,21819
Miscellaneous - fishing,109,67,1994,1997,1989,1992,690700878,452341241,1108,3259,4286,4404,319,24021
Liquefied gas tanker,84,41,2011,2011,2011,2011,31420369549,28562549776,4213,5222,4628,4740,3386,219002
Vehicle,36,33,2010,2009,2011,2011,5663831126,1798297388,2418,2483,2590,2574,320,24822
Container,355,103,2004,2005,2006,2005,15251557253,18550957052,848,1448,1252,1253,2521,194956
Offshore,326,89,2011,2011,2005,2004,1384626197,2258482296,165,1512,1345,2016,402,30301
Service - other,24,20,2003,2004,2005,2006,366036047,227417789,1114,2867,2942,2767,106,8109
Refrigerated bulk,79,42,1990,1991,1992,1992,699248478,800848881,1212,1598,1652,1627,445,33709
Bulk carrier,86,80,2006,2007,2009,2008,6670015487,11253299390,2511,3173,3112,3086,680,52663
Ro-Ro,70,16,2005,2001,2003,2003,610541884,315586895,296,454,467,463,130,9981
Ferry-pax only,3,1,1988,1988,1988,1988,84531,8917,90,90,69,69,0,9
Cruise,2,2,1997,1997,1999,1999,67246196,7633566,726,726,843,859,19,1483
